taxon_code,Population,sp_beast2,Disturbance,Elevation,Latitude,Longitude,Endemic class,NCUR_m1,NANC_m1,T_m1,NCUR_m2,NANC_m2,T_m2,NCUR_m3,NANC_m3,T_m3,NCUR_m4,NANC_m4,T_m4,total_loci,mean_missing,Average_Depth
colobopsis_bryani,colobopsis_bryani_vl,Colobopsis.bryani_clade_EGP0136A07_Fiji,4.5,416,-17.6794,177.542,endemic,458783,447211094,58967,3240125,380906501,421015,5331404,4782104776,675734,2776691,316189504,363049,15750,0,52.72
colobopsis_bryani,colobopsis_bryani_vn,Colobopsis.bryani_clade_EGP0136A07_Fiji,4,270,-16.8067,178.991,endemic,899140,433877263,163655,1173334,371711412,220686,4882703,4644514872,871035,915782,308506995,170193,11334,0,64.04
colobopsis_cristata,colobopsis_cristata_kv,Colobopsis.cristata_clade_EGP0080B07_Fiji,4,96,-19.0626,178.187,endemic,516387431,9681559,243,440538751,9672928,177,69369138,9662879,393,36545333,9842626,171,5865,0,54.91
colobopsis_cristata,colobopsis_cristata_ta,Colobopsis.cristata_clade_EGP0080B07_Fiji,4.2,315.6,-16.8547,-179.891,endemic,2049774,379492,13532,179403815,1007651,37783,54387269,6388572,222871,1495230,314489,11943,3658,0.076305358,106.51
colobopsis_cristata,colobopsis_cristata_vl,Colobopsis.cristata_clade_EGP0080B07_Fiji,4.36,567.28,-17.7439,177.676,endemic,1693452,272318,3285,140852325,403355,45963,17926969,8523534,112034,1191255,307179,3981,2766,0.047570118,120.58
colobopsis_cristata,colobopsis_cristata_vn,Colobopsis.cristata_clade_EGP0080B07_Fiji,4,87,-16.5316,179.019,endemic,37895250,9898411,11705,349559168,3662113,41542,87024106,8607604,12962,56450119,8535108,20515,11793,0.210958478,107.75
colobopsis_dentata_c1,colobopsis_dentata_c1_kv,Colobopsis.dentata_c1_EGP0070H11_Fiji,4,60,-19.0775,178.121,endemic,5098419,620265,252496,191263258,7801684,3385,2377435241,7561228,6107,3624104,388794,159978,5921,0,51.96
colobopsis_dentata_c1,colobopsis_dentata_c1_vl,Colobopsis.dentata_c1_EGP0070H11_Fiji,3.58333333,274.818182,-18.076,178.363,endemic,151564,20501,84286,32024905,502567,43422,136224229,843008,117385,122162,14205,62728,5731,0,129.57
colobopsis_dentata_c4,colobopsis_dentata_c4_lk,Colobopsis.dentata_c4_EGP0071C08_Fiji,4,100,100,-18.2208,endemic,3122494,557992,39777,276998663,462416,36189,2356038884,9001604,11513,3762887,759626,61120,2488,0.142015005,143.48
colobopsis_laminata_c3,colobopsis_laminata_c3_kv,Colobopsis.laminata_c3_EGP0073G08_Fiji,4.333333333,297.4444444,-19.0775,178.121,endemic,2701877,1688599,110345,177314399,1580737,28968,2176973106,7708624,127340,3922468,447762,30276,3212,0.090642234,267.58
colobopsis_laminata_c3,colobopsis_laminata_c3_vl2,Colobopsis.laminata_c3_EGP0073G08_Fiji,4.125,800,-17.6667,177.55,endemic,5185582,696142,266184,202632602,9163698,8196,2525349374,9782135,3783,3688090,561305,214536,1094,0,41.32
colobopsis_laminata_c3,colobopsis_laminata_c3_vl3,Colobopsis.laminata_c3_EGP0073G08_Fiji,5,630,-17.7478,177.677,endemic,4068892,3672933,95748,129988149,3728884,2608,1679932245,8696907,12741,2949527,308000,5617,3047,0.226124057,165.89
colobopsis_polynesica_c1,colobopsis_polynesica_c1_kv_1,Colobopsis.polynesica_c1_EGP0071G01_Fiji,4,79.4285,-19.0775,178.121,endemic,758245,291641392,43334,1516451,243614520,78192,3644527,3046580961,178576,327302,207513276,22273,5117,0.170923099,94.11
colobopsis_polynesica_c1,colobopsis_polynesica_c1_kv_2,Colobopsis.polynesica_c1_EGP0071G01_Fiji,4,103,-19.0599,178.169,endemic,982169,334004466,85946,431059,293724165,144389,3670935,3299133411,266228,1039025,221781401,98664,7303,0.213344433,94.88
colobopsis_polynesica_c1,colobopsis_polynesica_c1_vn,Colobopsis.polynesica_c1_EGP0071G01_Fiji,4.42258065,523.387097,-16.5928,179.772,endemic,780395,393776239,119142,797846,328805271,120501,4198501,3659506000,117535,328008,291733195,66114,1989,0,110.29
colobopsis_polynesica_c3,colobopsis_polynesica_c3_kv,Colobopsis.polynesica_c3_EGP0060D10_Fiji,4.11111111,222.666667,-19.0775,178.121,endemic,127060,30065131,77370,125787,21055282,174608,142431,33016947,84644,243378,46572041,136044,17451,0.285637881,105.55
colobopsis_polynesica_c3,colobopsis_polynesica_c3_ml,Colobopsis.polynesica_c3_EGP0060D10_Fiji,3,132,-18.5675,179.898,endemic,56416,52583748,139345,38435,35836221,190914,12286,11363185,29165,37480,34029819,91624,4502,0,95.77
colobopsis_polynesica_c3,colobopsis_polynesica_c3_vn,Colobopsis.polynesica_c3_EGP0060D10_Fiji,4.6,690,-16.5928,179.772,endemic,675154,544678087,332201,1520334,461685605,748771,4515142,4419650331,1021683,567673,382527954,277461,4777,0,55.74
colobopsis_polynesica_c4,colobopsis_polynesica_c4_ga,Colobopsis.polynesica_c4_EGP0060F07_Fiji,4.625,422.875,-17.978,179.277,endemic,7314,6003749,33660,16245,14979327,65780,27485,21255434,111232,19183,12364964,83208,4057,0,255.81
colobopsis_polynesica_c4,colobopsis_polynesica_c4_kr,Colobopsis.polynesica_c4_EGP0060F07_Fiji,3.6,417,-17.2888,179.404,endemic,432949,317200635,40093,784981,279973527,176488,3742158,3478708744,203196,1563440,240362317,165209,31845,0.234532894,71.23
colobopsis_polynesica_c4,colobopsis_polynesica_c4_ta,Colobopsis.polynesica_c4_EGP0060F07_Fiji,4.27272727,536.909091,-16.8547,-179.892,endemic,523308,340800602,38875,2553235,305735153,199501,3965406,3628141823,251925,1260261,250012748,102135,3920,0.219929847,457.32
colobopsis_polynesica_c4,colobopsis_polynesica_c4_vl,Colobopsis.polynesica_c4_EGP0060F07_Fiji,4,372,-17.6667,177.55,endemic,708066,320642589,49494,1081320,269781517,165436,3763479,3382749239,208381,565717,228207109,44496,2722,0.17882072,139.16
colobopsis_schmeltzi,colobopsis_schmeltzi_ga,Colobopsis.schmeltzi_clade_EGP0137A05_Fiji,5,488.4285714,-17.9836,179.277,endemic,8919993,188400298,16539,10239635,162650302,28223,8930375,2018380466,10269,8711399,131128835,10867,40866,0.187503059,197.63
colobopsis_schmeltzi,colobopsis_schmeltzi_vl1,Colobopsis.schmeltzi_clade_EGP0137A05_Fiji,4.366666667,588.4,-18.0553,178.424,endemic,587177,514056302,154792,890141,425389247,239355,4445679,4142542011,459418,679457,371866578,189513,15869,0,136.5
colobopsis_schmeltzi,colobopsis_schmeltzi_vl2,Colobopsis.schmeltzi_clade_EGP0137A05_Fiji,4.666666667,702.5,-17.75,178.035,endemic,9489938,223895710,42358,8885436,183687008,38760,10079806,2321606665,74279,4017825,158140343,8764,6543,0,113.69
colobopsis_schmeltzi,colobopsis_schmeltzi_vl3,Colobopsis.schmeltzi_clade_EGP0137A05_Fiji,4.75,494,-17.7447,177.665,endemic,918360,848420757,721295,784845,701936623,597374,4411128,4121728677,826732,732268,668424321,621087,16180,0,126.47
colobopsis_schmeltzi,colobopsis_schmeltzi_vn,Colobopsis.schmeltzi_clade_EGP0137A05_Fiji,4.2,367.8,-16.6301,179.208,endemic,9730724,394317545,100224,9991199,336358683,103688,9836157,4235100032,93421,9915019,278898716,100963,9214,0,67.64
colobopsis_vitiensis,colobopsis_vitiensis_ga,Colobopsis.vitiensis_EGP0060A03_Fiji,5,507.3333333,-17.9851,179.277,endemic,683595,412617718,110563,519305,353598875,189519,4460664,3899813862,357436,1401507,303905737,224272,50080,0.292372204,248.87
colobopsis_vitiensis,colobopsis_vitiensis_kr,Colobopsis.vitiensis_EGP0060A03_Fiji,3.8,498,-17.2868,179.404,endemic,612454,436125672,156049,870115,360496138,232940,3888863,3504721840,255254,407150,300955020,100185,2546,0,108.1
colobopsis_vitiensis,colobopsis_vitiensis_ta,Colobopsis.vitiensis_EGP0060A03_Fiji,4.6,894.2,-16.8409,-179.968,endemic,9756839,272974920,21490,6290307,222260213,142591,10340924,2826123679,12052,619419,193666447,5654,9285,0.267420571,133.74
colobopsis_vitiensis,colobopsis_vitiensis_vl,Colobopsis.vitiensis_EGP0060A03_Fiji,4.5,509,-17.7342,178.074,endemic,1046250,308655480,59428,689491,273474945,249062,3762828,3184344292,194337,308734,217980221,19945,8183,0.11310033,338.32
gnamptogenys_aterrima,gnamptogenys_aterrima_ga,Gnamptogenys.aterrima_EGP0070D10_Fiji,4.888888889,505.5555556,-17.9796,179.276,endemic,1029450,415142771,223071,459913,354229360,116667,4454489,3782784250,241327,357400,305778691,92923,8057,0.28788631,90.7
gnamptogenys_aterrima,gnamptogenys_aterrima_kv,Gnamptogenys.aterrima_EGP0070D10_Fiji,4.333333333,414.4444444,-17.2903,179.405,endemic,633136,524087592,227899,749712,457065235,301277,4393805,3973007341,301496,497984,389675653,228132,5017,0.235864727,80.5
gnamptogenys_aterrima,gnamptogenys_aterrima_vl,Gnamptogenys.aterrima_EGP0070D10_Fiji,4.333333333,413.4444444,-18.0558,178.422,endemic,279363,243645901,13369,299818,206001671,114798,3290243,2563563841,133123,1041575,178626167,59510,1613,0.201222212,130.96
hypoponera_eutrepta,hypoponera_eutrepta_ga,Hypoponera.eutrepta_EGP0093B09_Fiji,4.923076923,473.8461538,-17.98,179.275,endemic,1578842,273955489,97216,1991602,226524681,107566,3692500,2862593851,178657,309659,200890145,22307,10628,0.273601179,122.25
hypoponera_eutrepta,hypoponera_eutrepta_kr,Hypoponera.eutrepta_EGP0093B09_Fiji,4.5,482.5,-17.2903,179.405,endemic,8740520,219926009,69752,8220694,182085127,32607,8544561,2323064934,47121,8689879,149426789,46729,6755,0.272070072,109.23
hypoponera_eutrepta,hypoponera_eutrepta_kv,Hypoponera.eutrepta_EGP0093B09_Fiji,5,526.6666,-19.1175,177.992,endemic,10335434,379064187,644667,10353491,323266358,645454,10397697,4070989366,630851,348407,268173264,21300,2664,0,47.41
hypoponera_eutrepta,hypoponera_eutrepta_ta,Hypoponera.eutrepta_EGP0093B09_Fiji,4.714285714,867.7142857,-16.8433,-179.96,endemic,60276694,2233040,508,478832035,8246299,434,59719925,9458146,764,40785802,10377654,616,3885,0.281810382,67.28
hypoponera_eutrepta,hypoponera_eutrepta_vl,Hypoponera.eutrepta_EGP0093B09_Fiji,4.487804878,547.1219512,-17.6181,178.005,endemic,11887128,8064991,2394,101856692,10339278,8096,12828952,7637521,3840,83026927,9055313,2860,15394,0.271426097,180.01
hypoponera_eutrepta,hypoponera_eutrepta_vn,Hypoponera.eutrepta_EGP0093B09_Fiji,4.5,378.125,-16.5753,179.316,endemic,1624242,245047128,45546,333809,208507326,112996,3060683,2586899450,85078,1336471,171849067,40850,12594,0.249854428,123.59
hypoponera_monticola,hypoponera_monticola_ga,Hypoponera.monticola_EGP0094C04_Fiji,4.92307692,484.538462,-17.9795,179.276,endemic,1707547,247145490,116061,1349890,206239036,290027,3502610,2638140752,221355,445903,179995159,32515,2663,0.181124046,156.91
hypoponera_monticola,hypoponera_monticola_kr,Hypoponera.monticola_EGP0094C04_Fiji,4.33333333,328.333333,-17.2947,179.406,endemic,664333,583433007,335991,854059,526062221,413814,4421573,4051147348,360374,682630,419945541,338963,19771,0.206974862,92.37
hypoponera_monticola,hypoponera_monticola_ml,Hypoponera.monticola_EGP0094C04_Fiji,5,337.5,-18.5948,179.9,endemic,55847098,10566741,2181,460100708,13394963,1170,29402850,10994392,543,394069002,12859229,1516,3692,0.158504875,62.54
hypoponera_monticola,hypoponera_monticola_vl2,Hypoponera.monticola_EGP0094C04_Fiji,4.4,492.6,-17.92694,178.26861,endemic,5989606,203279386,253651,725921,182778417,128318,4439847,2282052513,150703,2166825,150161047,86980,1526,0.173656619,236.45
hypoponera_monticola,hypoponera_monticola_vn,Hypoponera.monticola_EGP0094C04_Fiji,4,420.5833333,-16.629,179.211,endemic,4680461,144511648,1953,138393,125214391,32273,2039029,1602144039,1866,9546854,105843180,18916,13079,0.259601906,149.6
iridomyrmex_anceps,iridomyrmex_anceps_vl,Iridomyrmex.anceps_EGP0068B09_Fiji,3.625,304.375,-17.7478,177.677,widespread pacific native,376805,11871,80814,625701,1389,89037,332554,10355,72767,594090,18555,7398,4704,0,125.42
leptogenys_fje02,leptogenys_fje02_ga,Leptogenys.FJE02_EGP0095E10_Fiji,5,530,-17.9836,179.277,endemic,187998,93366683,93768,195268,66589465,90666,113665,43024105,62150,193355,71180829,91466,4233,0.166784786,99.7
leptogenys_fje02,leptogenys_fje02_vn,Leptogenys.FJE02_EGP0095E10_Fiji,4.125,286.5,-16.6301,179.208,endemic,712926,343850809,101171,800294,283289840,110972,3891721,3392544791,530923,618536,226258720,87451,4016,0.166417663,205.7
leptogenys_fje02,leptogenys_fje02_ys,Leptogenys.FJE02_EGP0095E10_Fiji,3,132,-16.8522,177.469,endemic,1464653,454915769,493415,680399,391617372,233957,5022046,4197940459,994803,1155565,322379233,391606,6283,0,50.65
leptogenys_fje05,leptogenys_fje05_ta,Leptogenys.FJE05_EGP0096A07_Fiji,4,436.75,-16.8409,-179.968,endemic,14380082,8933175,88261,127082039,1327355,9166,31012918,7631915,66184,105915401,9481159,52711,2130,0,263.29
leptogenys_fjn01,leptogenys_fjn01_ta,Leptogenys.fjn01_EGP0095F08_Fiji,4.5,702.5,-16.8409,-179.968,endemic,730297,674016971,354326,643343,599650600,332118,4804169,4416996060,352793,672440,536319507,345290,5103,0.284211902,59.02
leptogenys_fjn01,leptogenys_fjn01_vn,Leptogenys.fjn01_EGP0095F08_Fiji,4.333333333,539,-16.6296,179.208,endemic,1467440,415946008,303567,1335634,355472529,269508,3974276,3658237524,555444,550906,297145381,112240,12405,0.188049174,174.43
leptogenys_fjn02,leptogenys_fjn02_ta,Leptogenys.fjn02_EGP0095E11_Fiji,4.666666667,1048,-16.8555,-179.889,endemic,1651803,401232616,313116,346082,343150714,66282,5423726,4244729949,538801,1642096,285242874,320342,5620,0,44.69
leptogenys_letilae,leptogenys_letilae_vl,Leptogenys.letilae_EGP0095D08_Fiji,4.571428571,814,-17.5694,177.97,endemic,4795633,285003127,75112,8609021,238362345,83011,9832974,3167179315,99217,955233,210544580,18479,4322,0.121201604,165.42
lordomyrma_striatella,lordomyrma_striatella_la,Lordomyrma.striatella_EGP0032F01_Fiji,5,300,-17.6942,178.825,endemic,9648750,369044237,129,9644873,314782909,167,9856572,3963950061,135,9862101,261047483,116,1917,0,46.94
monomorium_floricola,monomorium_floricola_lk,Monomorium.floricola_EGP0033F05_Fiji,4,100,-18.2294,-178.779,widespread pacific native,217628,74135,55148,1420213,8055,95215,9592587,417495,104796,451658,142670,78768,4487,0,68.07
monomorium_floricola,monomorium_floricola_vl,Monomorium.floricola_EGP0033F05_Fiji,3.4,160.2,-17.6757,177.97,widespread pacific native,16368821,1849070,290,144556528,9857984,932,1776053780,9168472,2328,113406230,9072715,354,2719,0.061997583,363.68
nylanderia_vitiensis,nylanderia_vitiensis_ga,Nylanderia.vitiensis_EGP0137D11_Fiji,4.888888889,468.4444444,-17.9796,179.276,endemic,42074162,9264850,344,357915558,2358451,85,90139912,9842983,1064,293934540,8262582,1051,21032,0,126.39
nylanderia_vitiensis,nylanderia_vitiensis_kv,Nylanderia.vitiensis_EGP0137D11_Fiji,4.5,412,-19.1181,177.988,endemic,40060284,8285234,13145,347462582,9642760,38924,44055670,6968687,7657,14455427,7863636,19091,17897,0,120.22
nylanderia_vitiensis,nylanderia_vitiensis_ta,Nylanderia.vitiensis_EGP0137D11_Fiji,4.2,253,-16.85,-179.893,endemic,991782,401897764,86463,2522766,342912984,221199,8552110,4319037686,749720,4366029,284085343,380690,15846,0,74.14
nylanderia_vitiensis,nylanderia_vitiensis_vl,Nylanderia.vitiensis_EGP0137D11_Fiji,4.357142857,397.7857143,-18.0589,178.442,endemic,1980956,191367261,70043,2655884,170789368,98490,5165894,2191030780,211369,326591,138684287,13347,7952,0.035915493,461.86
nylanderia_vitiensis,nylanderia_vitiensis_vn,Nylanderia.vitiensis_EGP0137D11_Fiji,4.277777778,373,-16.6814,179.188,endemic,8762967,190825277,52981,9523594,161887481,76095,8777604,2058515153,47009,9946644,134086382,64976,6731,0,389.02
odontomachus_angulatus,odontomachus_angulatus_kv,Odontomachus.angulatus_EGP0096C03_Fiji,5,700,-19.1183,177.99,endemic,39233035,9632559,159,334622446,9940690,184,42136626,9716982,95,27750624,9639637,162,16846,0,65.72
odontomachus_angulatus,odontomachus_angulatus_vl,Odontomachus.angulatus_EGP0096C03_Fiji,4.52173913,501.173913,-17.7478,177.677,endemic,161598071,8560567,239,132587152,9264836,698,17459485,9241430,1184,112342625,8717090,540,3382,0.138421897,403.51
odontomachus_simillimus,odontomachus_simillimus_bq,Odontomachus.simillimus_EGP0098D03_Fiji,5,186,-18.42537,178.12245,widespread pacific native,9384659,2009314,96420,9103442,1830540,88079,9705724,1458883,65162,9340924,726471,29723,13604,0,58.13
odontomachus_simillimus,odontomachus_simillimus_ga,Odontomachus.simillimus_EGP0098D03_Fiji,4.692307692,469.2307692,-17.9836,179.277,widespread pacific native,777838,833,112425,116535,129,102115,574156,653,84297,323827,365,46800,18220,0.252542993,95.92
odontomachus_simillimus,odontomachus_simillimus_kr,Odontomachus.simillimus_EGP0098D03_Fiji,4.2,496,-17.2868,179.404,widespread pacific native,89788,1482,31676,372115,5251,140285,166918,1616,62885,354860,3050,137577,3552,0,108.99
odontomachus_simillimus,odontomachus_simillimus_kv,Odontomachus.simillimus_EGP0098D03_Fiji,4.2,215.2,-19.0775,178.121,widespread pacific native,161814553,9284345,560,135831235,9093200,280,1737616427,9286686,368,112505506,8548253,972,28170,0.211214058,310.28
odontomachus_simillimus,odontomachus_simillimus_lk,Odontomachus.simillimus_EGP0098D03_Fiji,4,100,-18.2208,-178.784,widespread pacific native,154000,900,41655,1836217,37742,46123,250489,1206,68848,9670953,28193,55339,9602,0.276591682,53.57
odontomachus_simillimus,odontomachus_simillimus_ml,Odontomachus.simillimus_EGP0098D03_Fiji,5,218.75,-18.5948,179.9,widespread pacific native,8732357,9734,11276,4137281,17265,49542,3653997,6381,7052,7908266,11212,12550,9389,0,92.94
odontomachus_simillimus,odontomachus_simillimus_vl,Odontomachus.simillimus_EGP0098D03_Fiji,4.166666667,358.0425532,-18.0558,178.422,widespread pacific native,101844501,9574627,40,87883196,7404374,136,112636912,11055628,739,75208138,8890794,198,44591,0.214758584,581.55
ooceraea_crypta,ooceraea_crypta_vl,Ooceraea.crypta_EGP0099F12_Fiji,4.571428571,439.5714286,-18.1022,178.383,endemic,38800579,8674388,5893,339874960,9006960,4159,70944729,11611175,5279,2783401,576653,186,1495,0,157.4
ooceraea_fj06,ooceraea_fj06_ga,Ooceraea.fj06_EGP0100B10_Fiji,5,482.3333333,-17.98,179.275,endemic,17655124,8719916,65654,153999831,402393,6688,96756019,9921573,79300,126201250,8945254,86550,9671,0.224837142,201.76
ooceraea_fj06,ooceraea_fj06_kr,Ooceraea.fj06_EGP0100B10_Fiji,4,467,-17.2868,179.404,endemic,13450,6898613,66548,8339,5825121,35838,12785,7704995,71710,17802,11818568,81106,11229,0,144.48
ooceraea_fj06,ooceraea_fj06_kv,Ooceraea.fj06_EGP0100B10_Fiji,4,94,-19.0775,178.121,endemic,3682943,1652997,114164,312052046,3101730,216074,37063082,4386299,194484,2409601,443939,29837,35059,0.192832083,180.41
ooceraea_fj06,ooceraea_fj06_lk,Ooceraea.fj06_EGP0100B10_Fiji,4,100,-18.2208,-178.784,endemic,7655301,4223170,933,324803008,8675954,1208,52526297,9704819,2683,26850248,3507077,484,9214,0,115.56
ooceraea_fj06,ooceraea_fj06_ta,Ooceraea.fj06_EGP0100B10_Fiji,4,396.2,-16.8547,-179.892,endemic,7638803,7533069,53066,318681916,8219475,67706,45953516,9293426,57476,51763018,8301949,38515,3084,0,158.29
ooceraea_fj06,ooceraea_fj06_vl1,Ooceraea.fj06_EGP0100B10_Fiji,4.461538462,442.6923077,-18.0681,178.367,endemic,1567145,245260826,83886,1339383,216075155,83780,3650293,2734726705,224360,888049,180780084,52633,7991,0.129687565,200.9
ooceraea_fj06,ooceraea_fj06_vl3,Ooceraea.fj06_EGP0100B10_Fiji,,,-18.057,178.42,endemic,9034035,354037935,66356,4862542,304603727,37509,8449689,3790084412,72645,3244585,253288686,59216,2504,0,142.45
ooceraea_fuscior,ooceraea_fuscior_ta,Ooceraea.fuscior_EGP0099G11_Fiji,4,366.3333333,-16.8547,-179.892,endemic,4811857,2748299,89400,201820470,363563,13196,34332271,6148312,205727,1732106,1702731,59631,7216,0.093010902,262.16
ooceraea_fuscior,ooceraea_fuscior_vn,Ooceraea.fuscior_EGP0099G11_Fiji,4.166666667,370.6666667,-16.6296,179.208,endemic,3781999,1517437,83078,322016019,807132,148561,414498189,8419900,199575,2641818,1698157,100485,9014,0,173.81
paraparatrechina_oceanica,paraparatrechina_oceanica_bq,Paraparatrechina.oceanica_EGP0138A07_Fiji,5,186,-18.42537,178.12245,endemic,831969,398983709,79801,1949996,340253751,189104,4535783,4267562191,424228,1132689,282033685,108029,21157,0,77.28
paraparatrechina_oceanica,paraparatrechina_oceanica_ga,Paraparatrechina.oceanica_EGP0138A07_Fiji,4.833333333,498.8333333,-17.9879,179.278,endemic,524093,451888023,134091,846137,396809323,235465,4045289,3758817657,283551,772547,326227439,227161,16703,0,166.44
paraparatrechina_oceanica,paraparatrechina_oceanica_kr,Paraparatrechina.oceanica_EGP0138A07_Fiji,4,435,-17.2868,179.404,endemic,1580757,434985298,372967,2815278,371441640,674063,5222148,4382809220,926626,1245171,307372404,293654,9406,0,69.84
paraparatrechina_oceanica,paraparatrechina_oceanica_ml,Paraparatrechina.oceanica_EGP0138A07_Fiji,5,250,-18.5948,179.9,endemic,631699,526051705,241935,495981,453603299,190411,4393961,3987790285,441929,406404,362544500,147657,11501,0,153.25
paraparatrechina_oceanica,paraparatrechina_oceanica_vl,Paraparatrechina.oceanica_EGP0138A07_Fiji,4.375,446.25,-18.0867,178.379,endemic,2266515,174107270,7877,8696193,146861171,44142,11475297,1850741497,54408,9464661,123088327,27630,8436,0.088786154,674
paraparatrechina_oceanica,paraparatrechina_oceanica_vn,Paraparatrechina.oceanica_EGP0138A07_Fiji,3.615384615,256.0769231,-17.2905,179.404,endemic,709889,353936018,77729,415932,285469196,151946,4442775,3449140022,264707,1394939,237346899,130134,13620,0.113406755,149.81
pheidole_bula,pheidole_bula_vl,Pheidole.bula_EGP0016A02_Fiji,4,1017.4,-17.6158,178.017,endemic,855581,763332078,408940,683772,630342709,419840,5057886,4530730927,342795,612304,533175880,341632,11002,0.185579895,75.25
