taxon_code,sp_beast2,status,status2,disturbance_sp,elevation_sp,number_population,NCUR_m2_heliconius,NANC_m2_heliconius,T_m2_heliconius,T_m2_heliconius_t,NCUR_m1_honeybee,NANC_m1_honeybee,T_m1_honeybee,T_m1_honeybee_t,NCUR_m3_aphids,NANC_m3_aphids,T_m3_aphids,T_m3_aphids_t,NCUR_m4_silkworm,NANC_m4_silkworm,T_m4_silkworm,T_m4_silkworm_t,mean disturbance,mean elevation
leptogenys_fje02,Leptogenys.FJE02_EGP0095E10_Fiji,endemic,1,4.105263158,249.4210526,3,558653.6667,247165559,145198.3333,848.0797977,788525.6667,297377753.7,229451.3333,761.4535236,3009144,2544503118,529292,1805.943775,655818.6667,206606260.7,190174.3333,649.6429395,1.894736842,249.4210526
leptogenys_fje05,Leptogenys.FJE05_EGP0096A07_Fiji,endemic,1,4.2,587,1,127082039,1327355,9166,53.53711194,14380082,8933175,88261,292.9015424,31012918,7631915,66184,225.8197418,105915401,9481159,52711,180.0628317,1.8,587
leptogenys_fjn01,Leptogenys.fjn01_EGP0095F08_Fiji,endemic,1,4.545454545,578.8181818,2,989488.5,477561564.5,300813,1756.9997,1098868.5,544981489.5,328946.5,1091.636592,4389222.5,4037616792,454118.5,1549.451868,611673,416732444,228765,781.4701618,1.454545455,578.8181818
leptogenys_fjn02,Leptogenys.fjn02_EGP0095E11_Fiji,endemic,1,4.22,415.4444444,1,346082,343150714,66282,387.142358,1651803,401232616,313116,1039.101748,5423726,4244729949,538801,1838.388473,1642096,285242874,320342,1094.300765,1.777777778,415.4444444
leptogenys_letilae,Leptogenys.letilae_EGP0095D08_Fiji,endemic,1,4.625,781,1,8609021,238362345,83011,484.8537202,4795633,285003127,75112,249.2654814,9832974,3167179315,99217,338.5283048,955233,210544580,18479,63.12498468,1.375,781
lordomyrma_striatella,Lordomyrma.striatella_EGP0032F01_Fiji,endemic,1,4.625,448.25,1,9644873,314782909,167,0.975419779,9648750,369044237,129,0.428097336,9856572,3963950061,135,0.460619865,9862101,261047483,116,0.396260524,1.375,448.25
monomorium_floricola,Monomorium.floricola_EGP0033F05_Fiji,widespread Pacific native,2,2.794117647,118.7352941,2,72988370.5,4933019.5,48073.5,280.7894775,8293224.5,961602.5,27719,91.9878299,892823183.5,4792983.5,53562,182.7534904,56928944,4607692.5,39561,135.1419189,3.205882353,118.7352941
nylanderia_vitiensis,Nylanderia.vitiensis_EGP0137D11_Fiji,endemic,1,4.157142857,385.8428571,5,144016076.8,137518208.8,86958.6,507.9110083,18774030.2,160328077.2,44595.2,147.9929172,31338238,1717079058,203363.8,693.8770822,64605846.2,114596446,95831,327.3624334,1.842857143,385.8428571
odontomachus_angulatus,Odontomachus.angulatus_EGP0096C03_Fiji,endemic,1,3.861428571,441.8,2,233604799,9602763,441,2.575809117,100415553,9096563,199,0.660398216,29798055.5,9479206,639.5,2.181973361,70046624.5,9178363.5,351,1.199029689,2.138888889,441.8
odontomachus_simillimus,Odontomachus.simillimus_EGP0098D03_Fiji,widespread Pacific native,2,3.84375,270.70625,7,34182860.14,2626928.714,60937.14286,355.9239187,40399670.86,2983033.571,42007.42857,139.4051803,266372089,3115864.714,41335.85714,141.0379032,30758924.86,2601191.143,40451.28571,138.1831696,2.15625,270.70625
