species,tree_id,endemic_class,Disturbance,Elevation,Locality.Code,Disturbance_old_coding
Anoplolepis.gracilipes,Anoplolepis.gracilipes.EGP0102E11.Fiji,Exotic,0,408,"FIJI Gau I.: Lomaiviti Prov. Mt. Delaco, 3  km SE Navukailagi village",5
Anoplolepis.gracilipes,Anoplolepis.gracilipes.EGP0102E11.Fiji,Exotic,0,356,"FIJI Gau I.: Lomaiviti Prov. Mt. Delaco, 2.8  km SE Navukailagi village",5
Anoplolepis.gracilipes,Anoplolepis.gracilipes.EGP0102E11.Fiji,Exotic,1,100,FIJI Lakeba: 3.2  km NE Tubou Village,4
Anoplolepis.gracilipes,Anoplolepis.gracilipes.EGP0102E11.Fiji,Exotic,1,180,FIJI Vanua Levu: 0.6  km S Rokosalase Village,4
Anoplolepis.gracilipes,Anoplolepis.gracilipes.EGP0102E11.Fiji,Exotic,1,150,FIJI Vanua Levu: 0.6  km S Rokosalase Village,4
Anoplolepis.gracilipes,Anoplolepis.gracilipes.EGP0102E11.Fiji,Exotic,1,300,FIJI Gau: Lomaiviti Prov. 2.5  km SE Navukailagi Village,4
Anoplolepis.gracilipes,Anoplolepis.gracilipes.EGP0102E11.Fiji,Exotic,2,300,FIJI Vanua Levu: Cakaudrove Prov. Dogotuki near Lagi Village,3
Anoplolepis.gracilipes,Anoplolepis.gracilipes.EGP0102E11.Fiji,Exotic,2,118,"FIJI Yasawa Is.: Taucake, 700m NW Tamusua Village",3
Anoplolepis.gracilipes,Anoplolepis.gracilipes.EGP0102E11.Fiji,Exotic,2,144,"FIJI Yasawa Is.: Yasawa i Lau Cave, 1 km SE Nabukeru Village",3
Anoplolepis.gracilipes,Anoplolepis.gracilipes.EGP0102E11.Fiji,Exotic,2,120,"FIJI Yasawa Is.: Yasawa i Lau Cave, 1  km SE Nabukeru Village",3
Anoplolepis.gracilipes,Anoplolepis.gracilipes.EGP0102E11.Fiji,Exotic,2,55,"FIJI Viti Levu: Sigatoka Sand Dunes, 1.1  km SSW Volivoli Village",3
Anoplolepis.gracilipes,Anoplolepis.gracilipes.EGP0102E11.Fiji,Exotic,2,25,"FIJI Viti Levu: Sigatoka Sand Dunes, 0.8  km SSW Volivoli Village",3
Anoplolepis.gracilipes,Anoplolepis.gracilipes.EGP0102E11.Fiji,Exotic,1,700,"FIJI Viti Levu: Vuda Prov. Mt. Evans Range, Koroyanitu Eco Park, 1.8  km NE Abaca Village",4
Anoplolepis.gracilipes,Anoplolepis.gracilipes.EGP0102E11.Fiji,Exotic,0,300,FIJI Viti Levu: Namosi Prov. 4.8  km NE Galoa Village,5
Anoplolepis.gracilipes,Anoplolepis.gracilipes.EGP0102E11.Fiji,Exotic,3,1,"Bau Landing, Rewa Delta",2
Anoplolepis.gracilipes,Anoplolepis.gracilipes.EGP0102E11.Fiji,Exotic,3,445,Bukuya rd 11,2
Anoplolepis.gracilipes,Anoplolepis.gracilipes.EGP0102E11.Fiji,Exotic,2,511,Bukuya rd 5,3
Anoplolepis.gracilipes,Anoplolepis.gracilipes.EGP0102E11.Fiji,Exotic,3,595,Bukuya rd 7,2
Anoplolepis.gracilipes,Anoplolepis.gracilipes.EGP0102E11.Fiji,Exotic,1,188,Colo-i-suva Forest Park (Upper Pools),4
Anoplolepis.gracilipes,Anoplolepis.gracilipes.EGP0102E11.Fiji,Exotic,1,176,Colo-i-suva Forest Park 3,4
Anoplolepis.gracilipes,Anoplolepis.gracilipes.EGP0102E11.Fiji,Exotic,3,36,"Colonial Plaza, Nadi",2
Anoplolepis.gracilipes,Anoplolepis.gracilipes.EGP0102E11.Fiji,Exotic,3,25,Garden of the Sleeping Giant 1,2
Anoplolepis.gracilipes,Anoplolepis.gracilipes.EGP0102E11.Fiji,Exotic,3,100,Kings Rd to Rakiraki 2,2
Anoplolepis.gracilipes,Anoplolepis.gracilipes.EGP0102E11.Fiji,Exotic,3,1,"Kings rd 6, Tavua",2
