sp,sp_beast,pop1 ,pop2,distance,fst,fst_d,same island,endemic1,radiation1,endemic_class
strumigenys_basiliska,Strumigenys.basiliska_EGP0036G12_Fiji,KR,LA,75.54237517,0.0677,0.000896186,0,1,1,endemic
strumigenys_basiliska,Strumigenys.basiliska_EGP0036G12_Fiji,GA,KR,77.04730041,0.0695,0.000902043,0,1,1,endemic
strumigenys_basiliska,Strumigenys.basiliska_EGP0036G12_Fiji,GA,ML,94.81295151,0.0821,0.000865915,0,1,1,endemic
strumigenys_basiliska,Strumigenys.basiliska_EGP0036G12_Fiji,LA,VL,104.0341008,0.0903,0.000867985,0,1,1,endemic
strumigenys_basiliska,Strumigenys.basiliska_EGP0036G12_Fiji,GA,VL,136.1709539,0.0695,0.000510388,0,1,1,endemic
strumigenys_basiliska,Strumigenys.basiliska_EGP0036G12_Fiji,LA,VN,139.6618963,0.0821,0.000587848,0,1,1,endemic
strumigenys_basiliska,Strumigenys.basiliska_EGP0036G12_Fiji,GA,VN,145.7275718,0.0293,0.00020106,0,1,1,endemic
strumigenys_basiliska,Strumigenys.basiliska_EGP0036G12_Fiji,LA,ML,151.8479291,0.0862,0.000567673,0,1,1,endemic
strumigenys_basiliska,Strumigenys.basiliska_EGP0036G12_Fiji,KR,ML,153.1154361,0.12,0.000783722,0,1,1,endemic
strumigenys_basiliska,Strumigenys.basiliska_EGP0036G12_Fiji,KR,VL,179.5751476,0.1324,0.000737296,0,1,1,endemic
strumigenys_basiliska,Strumigenys.basiliska_EGP0036G12_Fiji,ML,VL,203.5765539,0.1345,0.000660685,0,1,1,endemic
