sp,sp_beast,pop1 ,pop2,distance,fst,same island,endemic1,radiation1,category
colobopsis_vitiensis,Colobopsis.vitiensis_EGP0060A03_Fiji,GA,KR,77.75384193,0.167167306,0,1,1,endemic
colobopsis_vitiensis,Colobopsis.vitiensis_EGP0060A03_Fiji,GA,VL,91.19394111,0.17332203,0,1,1,endemic
colobopsis_vitiensis,Colobopsis.vitiensis_EGP0060A03_Fiji,KR,VL,134.3270242,0.190990233,0,1,1,endemic
colobopsis_vitiensis,Colobopsis.vitiensis_EGP0060A03_Fiji,GA,TA,145.3386224,0.19381629,0,1,1,endemic
colobopsis_vitiensis,Colobopsis.vitiensis_EGP0060A03_Fiji,TA,VL,211.4700899,0.197950091,0,1,1,endemic
Colobopsis.schmeltzi,Colobopsis.schmeltzi_clade_EGP0137A05_Fiji,VL1,VL2,67.96731506,0.0434563,1,1,1,endemic
Colobopsis.schmeltzi,Colobopsis.schmeltzi_clade_EGP0137A05_Fiji,GA,VL1,88.62114262,0.05432596,0,1,1,endemic
Colobopsis.schmeltzi,Colobopsis.schmeltzi_clade_EGP0137A05_Fiji,GA,VL2,140.4815224,0.1249685,0,1,1,endemic
Colobopsis.schmeltzi,Colobopsis.schmeltzi_clade_EGP0137A05_Fiji,GA,VN,145.8000576,0.1164463,0,1,1,endemic
Colobopsis.schmeltzi,Colobopsis.schmeltzi_clade_EGP0137A05_Fiji,VL1,VN,197.8262581,0.16232564,0,1,1,endemic
Colobopsis.schmeltzi,Colobopsis.schmeltzi_clade_EGP0137A05_Fiji,VL2,VN,202.6649,0.164345335,0,1,1,endemic
gnamptogenys_aterrima-female,Gnamptogenys.aterrima_EGP0070D10_Fiji,GA,KR,75.53934666,0.040671699,0,1,2,endemic
gnamptogenys_aterrima-female,Gnamptogenys.aterrima_EGP0070D10_Fiji,KR,VN,81.5156122,0.006929516,0,1,2,endemic
gnamptogenys_aterrima-female,Gnamptogenys.aterrima_EGP0070D10_Fiji,GA,ML,95.76068556,0.010710804,0,1,2,endemic
gnamptogenys_aterrima-female,Gnamptogenys.aterrima_EGP0070D10_Fiji,GA,VN,146.9418131,0.011520842,0,1,2,endemic
gnamptogenys_aterrima-female,Gnamptogenys.aterrima_EGP0070D10_Fiji,KR,ML,152.7832472,0.019319515,0,1,2,endemic
gnamptogenys_aterrima-female,Gnamptogenys.aterrima_EGP0070D10_Fiji,KV,VL,167.2932153,0.019427653,0,1,2,endemic
gnamptogenys_aterrima-female,Gnamptogenys.aterrima_EGP0070D10_Fiji,GA,KV,172.5061041,0.033645113,0,1,2,endemic
gnamptogenys_aterrima-female,Gnamptogenys.aterrima_EGP0070D10_Fiji,GA,VL,185.3286475,0.056168218,0,1,2,endemic
gnamptogenys_aterrima-female,Gnamptogenys.aterrima_EGP0070D10_Fiji,VL,VN,189.9997411,0.09738035,0,1,2,endemic
gnamptogenys_aterrima-female,Gnamptogenys.aterrima_EGP0070D10_Fiji,KV,ML,194.9598723,0.107752762,0,1,2,endemic
gnamptogenys_aterrima-female,Gnamptogenys.aterrima_EGP0070D10_Fiji,KR,VL,200.3212062,0.109551885,0,1,2,endemic
gnamptogenys_aterrima-female,Gnamptogenys.aterrima_EGP0070D10_Fiji,ML,VN,233.3502422,0.11458855,0,1,2,endemic
gnamptogenys_aterrima-female,Gnamptogenys.aterrima_EGP0070D10_Fiji,KR,KV,238.7721244,0.12130298,0,1,2,endemic
gnamptogenys_aterrima-female,Gnamptogenys.aterrima_EGP0070D10_Fiji,ML,VL,268.7746371,0.150152835,0,1,2,endemic
gnamptogenys_aterrima-female,Gnamptogenys.aterrima_EGP0070D10_Fiji,KV,VN,282.6388903,0.181415771,0,1,2,endemic
gnamptogenys_aterrima-male,Gnamptogenys.aterrima_EGP0070D10_Fiji,GA,KR,75.53934666,0.01395382,0,1,2,endemic
gnamptogenys_aterrima-male,Gnamptogenys.aterrima_EGP0070D10_Fiji,KR,TA,78.15270236,0.056870272,0,1,2,endemic
gnamptogenys_aterrima-male,Gnamptogenys.aterrima_EGP0070D10_Fiji,KR,VN,81.5156122,0.108962102,0,1,2,endemic
gnamptogenys_aterrima-male,Gnamptogenys.aterrima_EGP0070D10_Fiji,TA,VN,103.5410407,0.13698474,0,1,2,endemic
gnamptogenys_aterrima-male,Gnamptogenys.aterrima_EGP0070D10_Fiji,GA,TA,144.6771646,0.147475348,0,1,2,endemic
gnamptogenys_aterrima-male,Gnamptogenys.aterrima_EGP0070D10_Fiji,GA,VN,146.9418131,0.152341845,0,1,2,endemic
gnamptogenys_aterrima-male,Gnamptogenys.aterrima_EGP0070D10_Fiji,KV,VL,167.2932153,0.168159298,0,1,2,endemic
gnamptogenys_aterrima-male,Gnamptogenys.aterrima_EGP0070D10_Fiji,GA,KV,172.5061041,0.171761358,0,1,2,endemic
gnamptogenys_aterrima-male,Gnamptogenys.aterrima_EGP0070D10_Fiji,GA,VL,185.3286475,0.191759841,0,1,2,endemic
gnamptogenys_aterrima-male,Gnamptogenys.aterrima_EGP0070D10_Fiji,VL,VN,189.9997411,0.292469048,0,1,2,endemic
gnamptogenys_aterrima-male,Gnamptogenys.aterrima_EGP0070D10_Fiji,KR,VL,200.3212062,0.304798422,0,1,2,endemic
gnamptogenys_aterrima-male,Gnamptogenys.aterrima_EGP0070D10_Fiji,KR,KV,238.7721244,0.315026074,0,1,2,endemic
gnamptogenys_aterrima-male,Gnamptogenys.aterrima_EGP0070D10_Fiji,TA,VL,271.6957356,0.391036477,0,1,2,endemic
gnamptogenys_aterrima-male,Gnamptogenys.aterrima_EGP0070D10_Fiji,KV,VN,282.6388903,0.391159928,0,1,2,endemic
gnamptogenys_aterrima-male,Gnamptogenys.aterrima_EGP0070D10_Fiji,KV,TA,314.7849263,0.455113134,0,1,2,endemic
Hypoponera_eutrepta,Hypoponera.eutrepta_EGP0093B09_Fiji,KR,VN,75.74806945,0.01812024,0,1,2,endemic
Hypoponera_eutrepta,Hypoponera.eutrepta_EGP0093B09_Fiji,GA,KR,76.8731319,0.04826823,0,1,2,endemic
Hypoponera_eutrepta,Hypoponera.eutrepta_EGP0093B09_Fiji,KR,TA,77.14492001,0.07213519,0,1,2,endemic
Hypoponera_eutrepta,Hypoponera.eutrepta_EGP0093B09_Fiji,TA,VN,83.60299661,0.1134249,0,1,2,endemic
Hypoponera_eutrepta,Hypoponera.eutrepta_EGP0093B09_Fiji,GA,TA,144.6771646,0.134451619,0,1,2,endemic
Hypoponera_eutrepta,Hypoponera.eutrepta_EGP0093B09_Fiji,GA,VN,148.6562634,0.14803529,0,1,2,endemic
Hypoponera_eutrepta,Hypoponera.eutrepta_EGP0093B09_Fiji,GA,VL,185.3286475,0.19534564,0,1,2,endemic
Hypoponera_eutrepta,Hypoponera.eutrepta_EGP0093B09_Fiji,KR,VL,200.8061218,0.20557305,0,1,2,endemic
Hypoponera_eutrepta,Hypoponera.eutrepta_EGP0093B09_Fiji,VL,VN,210.1948786,0.27492989,0,1,2,endemic
Hypoponera_eutrepta,Hypoponera.eutrepta_EGP0093B09_Fiji,TA,VL,271.6957356,0.29693801,0,1,2,endemic
Hypoponera.monticola,Hypoponera.monticola_EGP0094C04_Fiji,VL1,VL2,52.47284612,0.029974147,1,1,1,endemic
Hypoponera.monticola,Hypoponera.monticola_EGP0094C04_Fiji,GA,KR,76.23266074,0.027448485,0,1,1,endemic
Hypoponera.monticola,Hypoponera.monticola_EGP0094C04_Fiji,KR,VN,81.34636905,0.133798348,0,1,1,endemic
Hypoponera.monticola,Hypoponera.monticola_EGP0094C04_Fiji,GA,ML,95.76068556,0.14189193,0,1,1,endemic
Hypoponera.monticola,Hypoponera.monticola_EGP0094C04_Fiji,GA,VL2,136.1891147,0.14379535,0,1,1,endemic
Hypoponera.monticola,Hypoponera.monticola_EGP0094C04_Fiji,VL2,VN,146.1118626,0.14437923,0,1,1,endemic
Hypoponera.monticola,Hypoponera.monticola_EGP0094C04_Fiji,GA,VN,146.9418131,0.155419712,0,1,1,endemic
Hypoponera.monticola,Hypoponera.monticola_EGP0094C04_Fiji,KR,VL2,148.84484,0.15644564,0,1,1,endemic
Hypoponera.monticola,Hypoponera.monticola_EGP0094C04_Fiji,KR,ML,153.1154361,0.158385244,0,1,1,endemic
Hypoponera.monticola,Hypoponera.monticola_EGP0094C04_Fiji,GA,VL1,185.3286475,0.16439563,0,1,1,endemic
Hypoponera.monticola,Hypoponera.monticola_EGP0094C04_Fiji,VL1,VN,189.9997411,0.167859646,0,1,1,endemic
Hypoponera.monticola,Hypoponera.monticola_EGP0094C04_Fiji,KR,VL1,201.0673427,0.174453653,0,1,1,endemic
Hypoponera.monticola,Hypoponera.monticola_EGP0094C04_Fiji,ML,VL2,224.6233237,0.228673619,0,1,1,endemic
Hypoponera.monticola,Hypoponera.monticola_EGP0094C04_Fiji,ML,VN,233.3502422,0.238229333,0,1,1,endemic
Hypoponera.monticola,Hypoponera.monticola_EGP0094C04_Fiji,ML,VL1,268.7746371,0.242521328,0,1,1,endemic
iridomyrmex_anceps,Iridomyrmex.anceps_EGP0068B09_Fiji,VL,YS,83.28575576,0.010196334,0,2,3,widespread pacific native
leptogenys_fje02,Leptogenys.FJE02_EGP0095E10_Fiji,GA,VN,133.7499986,0.253138298,0,1,1,endemic
leptogenys_fje02,Leptogenys.FJE02_EGP0095E10_Fiji,VN,YS,162.2950372,0.36883998,0,1,1,endemic
leptogenys_fje02,Leptogenys.FJE02_EGP0095E10_Fiji,GA,YS,229.2981985,0.307826273,0,1,1,endemic
leptogenys_fjn01,Leptogenys.fjn01_EGP0095F08_Fiji,TA,VN,27.73574866,0.085433018,0,1,1,endemic
leptogenys_fjn02,Leptogenys.fjn02_EGP0095E11_Fiji,TA,VN,27.73574866,0.26532178,0,1,1,endemic
lordomyrma_striatella,Lordomyrma.striatella_EGP0032F01_Fiji,LA,VL,103.6781416,0.102136967,0,1,1,endemic
monomorium_floricola,Monomorium.floricola_EGP0033F05_Fiji,VL,YS,83.35971625,0.044049423,0,2,3,widespread pacific native
monomorium_floricola,Monomorium.floricola_EGP0033F05_Fiji,LK,VL,157.9079805,0.01239782,0,2,3,widespread pacific native
monomorium_floricola,Monomorium.floricola_EGP0033F05_Fiji,LK,YS,206.0507786,0.053480431,0,2,3,widespread pacific native
Nylanderia.vitiensis,Nylanderia.vitiensis_EGP0137D11_Fiji,VL1,VL2,67.39437139,0.074303598,1,1,2,endemic
Nylanderia.vitiensis,Nylanderia.vitiensis_EGP0137D11_Fiji,TA,VN,96.37130744,0.086124982,0,1,2,endemic
Nylanderia.vitiensis,Nylanderia.vitiensis_EGP0137D11_Fiji,KV,VL2,110.9238754,0.096827543,0,1,2,endemic
Nylanderia.vitiensis,Nylanderia.vitiensis_EGP0137D11_Fiji,GA,VL2,133.1173234,0.09961727,0,1,2,endemic
Nylanderia.vitiensis,Nylanderia.vitiensis_EGP0137D11_Fiji,GA,TA,139.9089632,0.11230453,0,1,2,endemic
Nylanderia.vitiensis,Nylanderia.vitiensis_EGP0137D11_Fiji,GA,VN,146.9418131,0.12420345,0,1,2,endemic
Nylanderia.vitiensis,Nylanderia.vitiensis_EGP0137D11_Fiji,KV,VL1,167.2932153,0.13630453,0,1,2,endemic
Nylanderia.vitiensis,Nylanderia.vitiensis_EGP0137D11_Fiji,GA,KV,172.5061041,0.164453687,0,1,2,endemic
Nylanderia.vitiensis,Nylanderia.vitiensis_EGP0137D11_Fiji,GA,VL1,185.3286475,0.178602554,0,1,2,endemic
Nylanderia.vitiensis,Nylanderia.vitiensis_EGP0137D11_Fiji,VL2,VN,188.1018816,0.189851471,0,1,2,endemic
Nylanderia.vitiensis,Nylanderia.vitiensis_EGP0137D11_Fiji,VL1,VN,189.9997411,0.20019394,0,1,2,endemic
Nylanderia.vitiensis,Nylanderia.vitiensis_EGP0137D11_Fiji,TA,VL2,240.4198696,0.23437563,0,1,2,endemic
Nylanderia.vitiensis,Nylanderia.vitiensis_EGP0137D11_Fiji,TA,VL1,264.160091,0.241103492,0,1,2,endemic
Nylanderia.vitiensis,Nylanderia.vitiensis_EGP0137D11_Fiji,KV,VN,282.6388903,0.254436889,0,1,2,endemic
Nylanderia.vitiensis,Nylanderia.vitiensis_EGP0137D11_Fiji,KV,TA,309.188231,0.346532887,0,1,2,endemic
odontomachus_angulatus,Odontomachus.angulatus_EGP0096C03_Fiji,KV,VL,167.3868359,0.016266158,0,1,2,endemic
odontomachus_simillimus,Odontomachus.simillimus_EGP0098D03_Fiji,GA,LK,58.56673485,0.055905404,0,2,3,widespread pacific native
odontomachus_simillimus,Odontomachus.simillimus_EGP0098D03_Fiji,MC,VL,61.6360973,0.068276151,0,2,3,widespread pacific native
odontomachus_simillimus,Odontomachus.simillimus_EGP0098D03_Fiji,KR,TA,70.75531151,0.042115223,0,2,3,widespread pacific native
odontomachus_simillimus,Odontomachus.simillimus_EGP0098D03_Fiji,BQ,LK,73.50691124,0.001507336,0,2,3,widespread pacific native
odontomachus_simillimus,Odontomachus.simillimus_EGP0098D03_Fiji,GA,KR,76.83532744,0.076496629,0,2,3,widespread pacific native
odontomachus_simillimus,Odontomachus.simillimus_EGP0098D03_Fiji,BQ,KV,77.83623915,0.065982475,0,2,3,widespread pacific native
odontomachus_simillimus,Odontomachus.simillimus_EGP0098D03_Fiji,KR,VN,80.67906445,0.019074473,0,2,3,widespread pacific native
odontomachus_simillimus,Odontomachus.simillimus_EGP0098D03_Fiji,GA,ML,93.59791879,0.051818317,0,2,3,widespread pacific native
odontomachus_simillimus,Odontomachus.simillimus_EGP0098D03_Fiji,TA,VN,96.68613387,0.084015117,0,2,3,widespread pacific native
odontomachus_simillimus,Odontomachus.simillimus_EGP0098D03_Fiji,BQ,VL,103.3733749,0.021584957,0,2,3,widespread pacific native
odontomachus_simillimus,Odontomachus.simillimus_EGP0098D03_Fiji,BQ,MC,119.0007184,0.025110591,0,2,3,widespread pacific native
odontomachus_simillimus,Odontomachus.simillimus_EGP0098D03_Fiji,KR,LK,122.3247292,0.037533159,0,2,3,widespread pacific native
odontomachus_simillimus,Odontomachus.simillimus_EGP0098D03_Fiji,LK,ML,123.9376477,0.050548626,0,2,3,widespread pacific native
