sp,sp_beast,mean disturbance,mean elev,# islands,# unique localities,endemic,radiation,genus-radiation,category
Hypoponera.confinis,Hypoponera.confinis_EGP0137C06_Fiji,4.666666667,284,2,3,2,3,3,widespread pacific native
Iridomyrmex.anceps,Iridomyrmex.anceps_EGP0068B09_Fiji,2.089285714,176.25,3,10,2,3,3,widespread pacific native
Monomorium.floricola,Monomorium.floricola_EGP0033F05_Fiji,2.794117647,118.7352941,8,14,2,3,3,widespread pacific native
Nylanderia.obscura,Nylanderia.obscura_EGP0137C11_Fiji,4.666666667,595.8333333,3,6,2,3,3,widespread pacific native
Odontomachus.simillimus,Odontomachus.simillimus_EGP0098D03_Fiji,3.84375,270.70625,12,123,2,3,3,widespread pacific native
Pheidole.fervens,Pheidole.fervens_EGP0019A05_Fiji,2.731707317,304.3658537,3,15,2,3,3,widespread pacific native
Pheidole.oceanica,Pheidole.oceanica_EGP0016G11_Fiji,4.21686747,301.2771084,12,79,2,3,3,widespread pacific native
Pheidole.umbonata,Pheidole.umbonata_EGP0016E05_Fiji,3.682926829,169.5609756,10,31,2,3,3,widespread pacific native
Ponera.swezeyi,Ponera.swezeyi_EGP0099F09_Fiji,4,255,3,5,2,3,3,widespread pacific native
Rogeria.stigmatica,Rogeria.stigmatica_EGP0035C04_Fiji,4.395348837,324.5581395,8,41,2,3,3,widespread pacific native
Solenopsis.papuana,Solenopsis.papuana_EGP0036G03_Fiji,4.454545455,372.1090909,9,54,2,3,3,widespread pacific native
Strumigenys.godeffroyi,Strumigenys.godeffroyi_EGP0061D04_Fiji,4.15,283.875,8,41,2,3,3,widespread pacific native
Tapinoma.minutum,Tapinoma.minutum_EGP0069G08_Fiji,3.916666667,593.5,4,13,2,3,3,widespread pacific native
Technomyrmex.vitiensis,Technomyrmex.vitiensis_EGP0101G03_Fiji,4.107843137,323.8235294,11,95,2,3,3,widespread pacific native
Tetramorium.insolens,Tetramorium.bicarinatum_EGP0063H10_Fiji,4.25,245.0714286,10,28,2,3,3,widespread pacific native
Tetramorium.pacificum,Tetramorium.pacificum_EGP0065G07_Fiji,3.86013986,370.8881119,12,108,2,3,3,widespread pacific native
Tetramorium.tonganum,Tetramorium.tonganum_EGP0067D04_Fiji,4.068181818,304.1590909,10,44,2,3,3,widespread pacific native
Anoplolepis.gracilipes,Anoplolepis.gracilipes_EGP0102E11_Fiji,2.943661972,163.1267606,11,34,3,4,4,Exotic
Cardiocondyla.emeryi,Cardiocondyla.emeryi_EGP0031F06_Fiji,2.08,171.88,4,4,3,4,4,Exotic
Cardiocondyla.minutior,Cardiocondyla.minutior_EGP0031F09_Fiji,2.923076923,384.7692308,4,13,3,4,4,Exotic
Cardiocondyla.obscurior,Cardiocondyla.obscurior_EGP0031G08_Fiji,3.866666667,288.2666667,7,13,3,4,4,Exotic
Hypoponera.opaciceps,Hypoponera.opaciceps_EGP0094G12_Fiji,3.857142857,377.7142857,4,7,3,4,4,Exotic
Hypoponera.punctatissima,Hypoponera.punctatissima_EGP0094H08_Fiji,4,335.1666667,6,7,3,4,4,Exotic
Pheidole.megacephala,Pheidole.megacephala_EGP0019C04_Fiji,2.6,150.4444444,8,24,3,4,4,Exotic
Platythyrea.parallela,Platythyrea.parallela_EGP0099E07_Fiji,2.5,24.16666667,1,3,3,4,4,Exotic
Pseudoponera.stigma,Pseudoponera.stigma_EGP0099C08_Fiji,4.222222222,217.3333333,3,27,3,4,4,Exotic
Solenopsis.geminata,Solenopsis.geminata_EGP0035H08_Fiji,2.139534884,258.7906977,1,6,3,4,4,Exotic
Strumigenys.membranifera,Strumigenys.membranifera_EGP0035E12_Fiji,4,180,1,1,3,4,4,Exotic
Strumigenys.rogeri,Strumigenys.rogeri_EGP0062E04_Fiji,4.296296296,285.7037037,6,26,3,4,4,Exotic
Syllophopsis.sechellensis,Syllophopsis.sechellensis_EGP0033H10_Fiji,4.266666667,339.2,5,15,3,4,4,Exotic
Tapinoma.melanocephalum,Tapinoma.melanocephalum_EGP0069D02_Fiji,2.666666667,249.9349594,10,41,3,4,4,Exotic
Tetramorium.lanuginosum,Tetramorium.insolens_EGP0064B06_Fiji,2.2,64,2,2,3,4,4,Exotic
Tetramorium.simillimum,Tetramorium.simillimum_EGP0066G11_Fiji,2.605263158,117.4210526,8,16,3,4,4,Exotic
