sp,sp_beast2,best_model,status,status2,t_real,Na,Nc,mean disturbance,mean elev,population decline,# islands,# unique localities
Iridomyrmex.anceps,Iridomyrmex.anceps_EGP0068B09_Fiji,instantaneous,widespread Pacific native,2,300400.8916,2661.899429,168573.5656,2.089285714,176.25,0,3,10
Leptogenys.fje02,Leptogenys.FJE02_EGP0095E10_Fiji,exponential,endemic,1,672476.6206,153189.671,22119.74959,4.105263158,249.4210526,1,6,14
Leptogenys.fje05,Leptogenys.FJE05_EGP0096A07_Fiji,instantaneous,endemic,1,2259095.5,67297.08661,48534.65886,4.2,587,1,1,4
Leptogenys.fjn01,Leptogenys.fjn01_EGP0095F08_Fiji,instantaneous,endemic,1,72349.89943,97695.14556,4904.903195,4.545454545,578.8181818,1,2,5
Leptogenys.fjn02,Leptogenys.fjn02_EGP0095E11_Fiji,exponential,endemic,1,247279.2206,124695.7066,2531.322844,4.22,415.4444444,1,2,4
Leptogenys.letilae,Leptogenys.letilae_EGP0095D08_Fiji,instantaneous,endemic,1,62965.41599,68534.92788,47001.25354,4.625,781,1,2,8
Lordomyrma.striatella,Lordomyrma.striatella_EGP0032F01_Fiji,instantaneous,endemic,1,1376411.877,402786.4957,53127.53878,4.625,448.25,1,5,8
Monomorium.floricola,Monomorium.floricola_EGP0033F05_Fiji,instantaneous,widespread Pacific native,2,527304.612,4808.538424,38084.41576,2.794117647,118.7352941,0,8,14
Nylanderia.vitiensis,Nylanderia.vitiensis_EGP0137D11_Fiji,exponential,endemic,1,650043.4247,50283.43548,120696.4408,4.157142857,385.8428571,0,6,67
Odontomachus.angulatus,Odontomachus.angulatus_EGP0096C03_Fiji,exponential,endemic,1,832898.6265,81639.40647,121824.3853,3.861428571,441.8,0,4,28
Odontomachus.simillimus,Odontomachus.simillimus_EGP0098D03_Fiji,instantaneous,widespread Pacific native,2,350226.075,3130.955635,529494.2639,3.84375,270.70625,0,12,123
Ooceraea.crypta,Ooceraea.crypta_EGP0099F12_Fiji,instantaneous,endemic,1,635906.9873,28674.40384,187275.3989,4.11428571,525.222,0,1,7
Ooceraea.fj06,Ooceraea.fj06_EGP0100B10_Fiji,instantaneous,endemic,1,989323.625,88421.81527,87455.58082,4.052657,339.4736842,1,9,37
Ooceraea.fuscior,Ooceraea.fuscior_EGP0099G11_Fiji,instantaneous,endemic,1,1110560.455,16321.35864,93586.2631,4.076923077,350,0,3,13
Paraparatrechina.oceanica,Paraparatrechina.oceanica_EGP0138A07_Fiji,exponential,endemic,1,601795.3037,146994.6444,31725.68743,4.279411765,362.8088235,1,10,67
pheidole_colaensis,Pheidole.colaensis_EGP0016A08_Fiji,instantaneous,endemic,1,300460.6896,171647.7847,22314.21201,4.5,937.61,1,1,5
Pheidole.bula,Pheidole.bula_EGP0016A02_Fiji,instantaneous,endemic,1,62677.52573,2464.8663,1313.034278,5,333.5,1,2,5
Pheidole.fervens,Pheidole.fervens_EGP0019A05_Fiji,instantaneous,widespread Pacific native,2,177472.6262,680.2421605,111250.0741,2.731707317,304.3658537,0,3,15
Pheidole.kava,Pheidole.kava_EGP0027D12_Fiji,instantaneous,endemic,1,8102076.365,131375.1519,36808.04835,4.615384615,527.1538462,1,3,13
Pheidole.megacephala,Pheidole.megacephala_EGP0019C04_Fiji,instantaneous,exotic,3,328599.1306,1698.416152,74718.20933,2.6,150.4444444,0,8,24
Pheidole.onifera,Pheidole.onifera_EGP0016H09_Fiji,exponential,endemic,1,6235230.077,104397.0738,38543.40596,4.333333333,356.3333333,1,6,17
Pheidole.roosevelti,Pheidole.roosevelti_EGP0016D06_Fiji,instantaneous,endemic,1,767941.4992,175620.2006,19269.28008,4.785714286,529.9285714,1,3,26
Pheidole.simplispinosa,Pheidole.simplinosa_EGP0016E11_Fiji,exponential,endemic,1,144306.2459,78482.39091,17817.67106,4.473684211,537.7894737,1,3,17
Pheidole.ululevu,Pheidole.ululevu_EGP0025D07_Fiji,instantaneous,endemic,1,817196.3626,35021.43041,61922.45172,4.493670886,366.1772152,0,10,78
Pheidole.umbonata,Pheidole.umbonata_EGP0016E05_Fiji,instantaneous,widespread Pacific native,2,288316.4958,1460.83084,243109.7389,3.682926829,169.5609756,0,10,31
Pheidole.uncagena,Pheidole.uncagena_EGP0022C09_Fiji,instantaneous,endemic,1,12847.18251,76769.74916,2095.814152,4.6,690.2,1,3,10
Pheidole.vatu,Pheidole.vatu_EGP0022E11_Fiji,exponential,endemic,1,393306.5489,143878.7692,28224.58513,4.4,430.8,1,8,34
Pheidole.wilsoni,Pheidole.wilsoni_EGP0023A03_Fiji,instantaneous,endemic,1,853437.3142,69995.60757,145948.4195,4.47761194,449.0447761,0,8,65
Philidris.nagasau,Philidris.nagasau_EGP0068D11_Fiji,exponential,endemic,1,492327.8557,119759.3069,44455.11323,4.285714286,498.5714286,1,3,21
Pristomyrmex.mandibularis,Pristomyrmex.mandibularis_EGP0025G10_Fiji,exponential,endemic,1,3662130.408,183653.7885,31643.26223,4.49122807,462.7719298,1,8,57
Pristomyrmex.tsujii,Pristomyrmex.tsujii_EGP0029E11_Fiji,exponential,endemic,1,2309111.872,127610.9853,62524.43108,4.545454545,499.3863636,1,8,44
Proceratium.relictum,Proceratium.relictum_EGP0091C09_Fiji,exponential,endemic,1,263133.5781,67921.53678,46186.64501,4.307692308,567.2307692,1,2,13
Pseudoponera.stigma,Pseudoponera.stigma_EGP0099C08_Fiji,instantaneous,exotic,3,134303.877,533.5337014,142966.8482,4.222222222,217.3333333,0,3,27
Rogeria.stigmatica,Rogeria.stigmatica_EGP0035C04_Fiji,instantaneous,widespread Pacific native,2,176140.0081,499.4538033,389219.7539,4.395348837,324.5581395,0,8,41
